# Total counts:		500000	500000	500000
#
"cluster"	"supercluster"	"VGR"	"VVL"	"VCR"
700	583	30	0	0
701	584	0	27	3
702	585	0	30	0
703	586	30	0	0
704	587	29	0	1
705	588	0	0	30
706	589	0	24	6
707	590	30	0	0
708	591	27	2	1
709	592	0	15	15
710	593	0	30	0
711	594	0	2	28
712	595	5	15	10
713	596	30	0	0
714	597	0	0	30
715	598	0	28	2
716	599	3	10	17
717	600	2	9	19
718	601	0	1	29
719	602	0	0	30
720	603	21	0	9
721	604	0	15	14
722	605	29	0	0
723	606	2	20	7
724	607	0	9	20
725	608	4	14	11
726	609	29	0	0
727	610	0	12	17
728	611	1	6	22
729	612	0	0	29
730	613	29	0	0
731	614	1	15	13
732	615	0	14	15
733	616	0	0	29
734	617	28	0	1
735	618	13	7	9
736	619	0	2	27
737	620	4	4	21
738	621	0	26	3
739	622	6	18	5
740	623	0	17	12
741	624	29	0	0
742	625	28	0	0
743	626	13	15	0
744	627	27	0	1
745	628	0	12	16
746	629	0	0	28
747	630	0	28	0
748	631	0	28	0
749	632	0	28	0
750	633	24	1	3
751	634	28	0	0
752	635	1	14	13
753	636	0	9	19
754	637	0	14	14
755	638	25	3	0
756	639	0	21	7
757	640	0	28	0
758	641	0	13	15
759	642	11	16	1
760	643	0	18	10
761	644	0	28	0
762	645	28	0	0
763	646	28	0	0
764	647	0	3	25
765	648	27	0	0
766	649	0	0	27
767	650	0	13	14
768	651	3	16	8
769	652	0	26	1
770	653	6	11	10
771	654	18	3	6
772	655	0	16	11
773	656	0	7	20
774	657	0	0	27
775	658	2	9	16
776	659	0	0	27
777	660	17	8	2
778	661	7	18	2
779	662	27	0	0
780	663	0	1	26
781	664	0	27	0
782	665	0	27	0
783	666	0	2	25
784	667	27	0	0
785	668	0	0	27
786	669	7	6	13
787	670	26	0	0
788	671	0	26	0
789	672	22	0	4
790	673	0	10	16
791	674	0	6	20
792	675	26	0	0
793	676	24	0	2
794	677	0	26	0
795	678	0	1	25
796	679	26	0	0
797	680	0	26	0
798	681	2	13	11
799	682	0	2	24
800	683	0	0	26
801	684	0	11	15
802	685	0	26	0
803	686	26	0	0
804	687	0	16	10
805	688	0	26	0
806	689	0	19	7
807	690	26	0	0
808	691	26	0	0
809	692	3	14	8
810	693	1	5	19
811	694	0	25	0
812	695	4	12	9
813	696	24	1	0
814	697	0	0	25
815	698	0	21	4
816	699	8	14	3
817	700	1	12	12
818	701	25	0	0
819	702	25	0	0
820	703	0	5	20
821	704	0	16	9
822	705	0	3	22
823	706	25	0	0
824	707	0	1	24
825	708	1	19	5
826	709	0	15	10
827	710	7	9	9
828	711	6	11	8
829	712	3	4	18
830	713	22	0	3
831	714	0	0	25
832	715	0	3	22
833	716	25	0	0
834	717	25	0	0
835	718	0	25	0
836	719	0	25	0
837	720	0	0	25
838	721	0	3	22
839	722	25	0	0
840	723	4	11	10
841	724	0	2	23
842	725	25	0	0
843	726	0	0	25
844	727	25	0	0
845	728	4	15	6
846	729	0	2	22
847	730	24	0	0
848	731	24	0	0
849	732	0	24	0
850	733	1	12	11
851	734	0	24	0
852	735	24	0	0
853	736	24	0	0
854	737	0	2	22
855	738	1	14	9
856	739	3	7	14
857	740	1	8	15
858	741	8	10	6
859	742	12	6	6
860	743	4	17	3
861	744	0	17	7
862	745	0	20	4
863	746	0	4	20
864	747	24	0	0
865	748	24	0	0
866	749	19	2	3
867	750	0	0	24
868	751	22	2	0
869	752	24	0	0
870	753	24	0	0
871	754	0	24	0
872	755	0	9	14
873	756	0	14	9
874	757	5	12	6
875	758	0	2	21
876	759	0	1	22
877	760	0	19	4
878	761	0	12	11
879	762	15	7	1
880	763	4	10	9
881	764	23	0	0
882	765	23	0	0
883	766	0	2	21
884	767	2	8	13
885	768	23	0	0
886	769	0	9	14
887	770	1	0	22
888	771	0	23	0
889	772	0	0	23
890	773	0	3	20
891	774	0	0	23
892	775	5	4	14
893	776	23	0	0
894	777	23	0	0
895	778	23	0	0
896	779	5	6	12
897	780	0	23	0
898	781	23	0	0
899	782	23	0	0
900	783	0	0	23
901	784	0	0	23
902	785	0	0	23
903	786	7	6	10
904	787	23	0	0
905	788	3	15	5
906	789	0	3	20
907	790	0	0	23
908	791	2	7	13
909	792	6	11	5
910	793	22	0	0
911	794	21	1	0
912	795	0	7	15
913	796	22	0	0
914	797	22	0	0
915	798	22	0	0
916	799	22	0	0
917	800	2	4	16
918	801	5	15	2
919	802	0	0	22
920	803	22	0	0
921	804	0	7	15
922	805	22	0	0
923	806	0	1	21
924	807	15	4	3
925	808	22	0	0
926	809	22	0	0
927	810	0	4	18
928	811	22	0	0
929	812	0	0	22
930	813	0	22	0
931	814	0	3	19
932	815	20	0	2
933	816	22	0	0
934	817	0	7	15
935	818	0	14	8
936	819	0	3	19
937	820	22	0	0
938	822	1	7	14
939	823	22	0	0
940	824	0	15	7
941	825	0	22	0
942	826	0	0	22
943	827	22	0	0
944	828	22	0	0
945	829	22	0	0
946	830	11	4	7
947	831	0	0	22
948	832	9	3	10
949	833	1	12	9
950	821	3	7	12
951	834	0	0	22
952	835	22	0	0
953	836	1	16	4
954	837	21	0	0
955	838	0	10	11
956	839	0	2	19
957	840	21	0	0
958	841	20	0	1
959	842	0	20	1
960	843	21	0	0
961	844	0	0	21
962	845	0	15	6
963	846	21	0	0
964	847	0	0	21
965	848	0	21	0
966	849	0	21	0
967	850	0	18	3
968	851	21	0	0
969	852	15	6	0
970	853	0	16	5
971	854	4	9	8
972	855	0	14	7
973	856	3	17	1
974	857	0	7	14
975	858	0	12	9
976	859	9	5	7
977	860	0	4	17
978	861	1	8	12
979	862	21	0	0
980	863	2	8	11
981	864	21	0	0
982	865	0	11	10
983	866	3	7	11
984	867	21	0	0
985	868	21	0	0
986	869	0	0	21
987	870	3	4	13
988	871	0	8	12
989	872	0	0	20
990	873	20	0	0
991	874	4	10	6
992	875	0	1	19
993	876	4	5	11
994	877	0	16	4
995	878	8	10	2
996	879	20	0	0
997	880	14	1	5
998	881	0	14	6
999	882	0	0	20
1000	883	7	8	5
1001	884	11	1	8
1002	885	0	12	8
1003	886	6	10	4
1004	887	3	7	10
1005	888	1	0	19
1006	889	20	0	0
1007	890	1	8	11
1008	891	20	0	0
1009	892	0	19	1
1010	893	0	15	5
1011	894	20	0	0
1012	895	18	0	2
1013	896	0	1	19
1014	897	20	0	0
1015	898	1	11	8
1016	899	0	15	5
1017	900	0	1	19
1018	901	20	0	0
1019	902	20	0	0
1020	903	0	0	20
1021	904	20	0	0
1022	905	0	0	20
1023	906	0	6	14
1024	907	0	0	20
1025	908	0	15	5
1026	909	20	0	0
1027	938	0	19	0
1028	910	0	13	6
1029	911	17	1	1
1030	912	0	0	19
1031	913	0	7	12
1032	914	0	4	15
1033	915	19	0	0
1034	916	19	0	0
1035	917	19	0	0
1036	918	0	4	15
1037	919	16	2	1
1038	920	0	0	19
1039	921	0	19	0
1040	922	0	15	4
1041	923	19	0	0
1042	924	0	19	0
1043	925	19	0	0
1044	926	19	0	0
1045	927	7	9	3
1046	928	0	7	12
1047	929	0	14	5
1048	930	0	1	18
1049	931	0	3	16
1050	932	16	2	1
1051	933	0	10	9
1052	934	0	0	19
1053	935	0	0	19
1054	936	0	0	19
1055	937	2	9	8
1056	939	0	0	19
1057	940	0	19	0
1058	941	0	19	0
1059	942	0	7	12
1060	943	8	7	4
1061	944	0	16	3
1062	945	0	19	0
1063	946	19	0	0
1064	947	0	2	17
1065	948	19	0	0
1066	949	2	5	12
1067	950	0	19	0
1068	951	19	0	0
1069	952	0	0	19
1070	953	0	11	8
1071	954	1	10	8
1072	955	0	19	0
1073	956	0	0	18
1074	957	0	12	6
1075	958	1	16	1
1076	959	18	0	0
1077	960	0	18	0
1078	961	18	0	0
1079	962	0	4	14
1080	963	18	0	0
1081	964	18	0	0
1082	965	18	0	0
1083	966	3	7	8
1084	967	0	7	11
1085	968	0	6	12
1086	969	1	9	8
1087	970	5	7	6
1088	971	0	13	5
1089	972	18	0	0
1090	973	3	9	6
1091	974	18	0	0
1092	975	0	0	18
1093	976	0	1	17
1094	977	0	0	18
1095	978	0	11	7
1096	979	11	4	3
1097	980	2	8	8
1098	981	18	0	0
1099	982	0	9	9
1100	983	0	14	4
1101	984	17	1	0
1102	985	18	0	0
1103	986	0	18	0
1104	987	7	9	2
1105	988	0	8	10
1106	989	18	0	0
1107	990	0	7	11
1108	991	5	9	4
1109	992	0	14	4
1110	993	0	0	18
1111	994	0	17	1
1112	995	0	9	9
1113	996	18	0	0
1114	997	0	16	2
1115	998	6	6	6
1116	999	0	14	3
1117	1000	0	16	1
1118	1001	0	5	12
1119	1002	4	9	4
1120	1003	17	0	0
1121	1005	0	17	0
1122	1006	0	8	9
1123	1007	0	0	17
1124	1008	0	14	3
1125	1009	0	2	15
1126	1004	0	14	3
1127	1010	17	0	0
1128	1011	0	0	17
1129	1012	17	0	0
1130	1013	17	0	0
1131	1014	0	1	16
1132	1015	8	3	6
1133	1016	17	0	0
1134	1017	15	0	2
1135	1018	0	0	17
1136	1019	0	17	0
1137	1020	2	11	4
1138	1021	0	6	11
1139	1022	0	4	13
1140	1023	0	13	4
1141	1024	17	0	0
1142	1025	17	0	0
1143	1026	1	6	10
1144	1027	17	0	0
1145	1028	0	11	6
1146	1029	0	0	17
1147	1030	0	0	17
1148	1031	0	17	0
1149	1032	0	6	11
1150	1033	0	15	2
1151	1034	17	0	0
1152	1035	0	15	2
1153	1036	4	10	3
1154	1037	17	0	0
1155	1038	0	16	1
1156	1039	5	7	5
1157	1040	0	1	16
1158	1041	17	0	0
1159	1042	0	17	0
1160	1043	17	0	0
1161	1048	0	7	10
1162	1044	17	0	0
1163	1045	15	2	0
1164	1046	17	0	0
1165	1047	0	17	0
1166	1049	17	0	0
1167	1050	4	8	5
1168	1051	0	0	17
1169	1052	3	10	4
1170	1053	17	0	0
1171	1054	17	0	0
1172	1055	0	7	10
1173	1056	0	0	17
1174	1057	0	2	15
1175	1058	17	0	0
1176	1059	0	17	0
1177	1060	0	4	13
1178	1061	0	0	17
1179	1062	17	0	0
1180	1063	0	3	14
1181	1064	0	2	15
1182	1065	10	3	3
1183	1066	0	2	14
1184	1067	4	2	10
1185	1068	7	3	6
1186	1069	0	2	14
1187	1070	0	7	9
1188	1071	8	2	6
1189	1072	0	1	15
1190	1073	16	0	0
1191	1074	13	2	1
1192	1075	0	16	0
1193	1076	3	9	4
1194	1077	0	12	4
1195	1078	0	5	11
1196	1079	0	3	13
1197	1080	0	16	0
1198	1081	0	0	16
1199	1082	0	4	12
1200	1083	16	0	0
1201	1084	0	5	11
1202	1085	1	12	3
1203	1086	0	0	16
1204	1087	0	16	0
1205	1088	15	1	0
1206	1089	0	0	16
1207	1090	0	9	7
1208	1091	0	2	14
1209	1092	0	13	3
1210	1093	0	0	16
1211	1094	16	0	0
1212	1095	16	0	0
1213	1096	0	12	4
1214	1097	4	5	7
1215	1098	2	8	6
1216	1099	16	0	0
1217	1100	16	0	0
1218	1101	10	2	4
1219	1102	0	11	5
1220	1103	16	0	0
1221	1104	16	0	0
1222	1105	16	0	0
1223	1106	0	2	14
1224	1107	0	0	16
1225	1108	0	16	0
1226	1109	0	0	16
1227	1110	0	0	16
1228	1111	16	0	0
1229	1112	16	0	0
1230	1113	13	0	3
1231	1114	0	10	6
1232	1115	16	0	0
1233	1116	0	1	15
1234	1117	0	2	14
1235	1118	16	0	0
1236	1119	0	16	0
1237	1120	16	0	0
1238	1121	16	0	0
1239	1122	10	3	3
1240	1123	0	8	8
1241	1124	3	5	8
1242	1125	1	7	8
1243	1126	0	16	0
1244	1127	0	6	10
1245	1128	0	8	8
1246	1129	0	12	4
1247	1130	5	11	0
1248	1131	0	16	0
1249	1132	16	0	0
1250	1133	0	3	13
1251	1134	0	8	8
1252	1135	8	2	6
1253	1136	0	0	16
1254	1137	0	10	6
1255	1138	16	0	0
1256	1139	0	16	0
1257	1140	16	0	0
1258	1141	0	0	16
1259	1142	0	0	16
1260	1143	0	0	16
1261	1144	0	16	0
1262	1145	16	0	0
1263	1146	4	9	3
1264	1147	16	0	0
1265	1148	0	9	7
1266	1149	0	16	0
1267	1150	15	1	0
1268	1151	0	16	0
1269	1152	16	0	0
1270	1153	0	16	0
1271	1154	3	7	6
1272	1155	0	1	15
1273	1156	0	16	0
1274	1157	15	0	1
1275	1158	0	0	16
1276	1159	11	2	2
1277	1160	4	0	11
1278	1161	15	0	0
1279	1162	7	4	4
1280	1163	4	2	9
1281	1164	0	15	0
1282	1165	0	0	15
1283	1166	15	0	0
1284	1167	0	8	7
1285	1168	0	15	0
1286	1169	9	2	4
1287	1170	0	0	15
1288	1171	14	1	0
